type,name,symbol,id
stocks,3Cnergy,502,-1
stocks,8Telecom^,AZG,-2
stocks,A-Smart,BQC,-3
stocks,A-Sonic Aero^,BTJ,-4
stocks,AA,5GZ,-5
etfs,ABF SG BOND ETF,A35,-6
stocks,ABR,533,-7
stocks,Abterra^,L5I,-8
stocks,Abundance Intl,541,-9
businesstrusts,Accordia Golf Tr,ADQU,-10
stocks,Accrelist Ltd,QZG,-11
stocks,Ace Achieve Info^,A75,-12
stocks,Acesian Partners,5FW,-13
stocks,Acma^,AYV,-14
stocks,Acromec,43F,-15
stocks,Addvalue Tech,A31,-16
stocks,Advanced Systems,5TY,-17
stocks,Advanced^,BLZ,-18
stocks,Advancer Global,43Q,-19
stocks,Adventus,5EF,-20
stocks,AEI^,AWG,-21
stocks,AEM,AWX,-22
stocks,AF Global,L38,-23
stocks,AGV,1A4,-24
reits,AIMS APAC Reit,O5RU,-25
stocks,AIMS Property,BVP,-26
stocks,AliPictures HKD,S91,-27
stocks,Alita Resources,40F,-28
stocks,Alliance HC,MIJ,-29
stocks,Allied Tech,A13,-30
stocks,Alpha Energy,5TS,-31
stocks,Amara,A34,-32
stocks,AMOS,RF7,-33
stocks,Amplefield Ltd,AOF,-34
stocks,AnAn Intl^,Y35,-35
stocks,Anchor Resources,43E,-36
stocks,Anchun Intl^,BTX,-37
stocks,AnnAik,A52,-38
stocks,Annica,5AL,-39
stocks,Aoxin Q & M,1D4,-40
stocks,AP Oil,5AU,-41
stocks,APAC Realty,CLN,-42
businesstrusts,ARA HTrust USD,XZL,-43
stocks,Arion Ent,YYB,-44
stocks,Artivision Tech,5NK,-45
reits,Ascendas Reit,A17U,-46
businesstrusts,Ascendas-iTrust,CY6U,-47
businesstrusts,Ascott Trust,HMN,-48
stocks,Asia Enterprises,A55,-49
stocks,Asia Fashion^,BQI,-50
stocks,Asia Vets,5RE,-51
stocks,AsiaMedic,505,-52
stocks,Asian Healthcare,1J3,-53
stocks,Asian Micro,585,-54
businesstrusts,Asian Pay Tv Tr,S7OU,-55
stocks,AsiaPhos,5WV,-56
stocks,Asiatic,5CR,-57
stocks,Asiatravel.com,5AM,-58
stocks,ASL Marine^,A04,-59
stocks,Aspen,1F3,-60
stocks,Aspial,A30,-61
stocks,Astaka,42S,-62
stocks,ASTI^,575,-63
stocks,Atlantic Nav,5UL,-64
stocks,AusGroup^,5GJ,-65
stocks,Avarga,U09,-66
stocks,Avi-Tech,BKY,-67
stocks,AVIC,O2I,-68
stocks,AVJennings A$,A05,-69
stocks,Axcelasia,42U,-70
stocks,Ayondo,1I5,-71
stocks,Azeus,BBW,-72
stocks,B&M Hldg,CJN,-73
stocks,Baker Technology,BTP,-74
stocks,Ban Leong,B26,-75
stocks,Banyan Tree,B58,-76
stocks,BBR,KJ5,-77
stocks,Beng Kuang^,BEZ,-78
stocks,Berlian LajuTank,B66,-79
stocks,Best World,CGN,-80
stocks,BH Global^,BQN,-81
reits,BHG Retail Reit,BMGU,-82
stocks,Biolidics,8YY,-83
stocks,BlackGoldNatural,41H,-84
stocks,Blumont,A33,-85
stocks,BMM^,I9T,-86
stocks,Boldtek,5VI,-87
stocks,Bonvests,B28,-88
stocks,Boustead,F9D,-89
stocks,Boustead Proj,AVM,-90
stocks,BRC Asia,BEC,-91
stocks,BreadTalk,CTN,-92
stocks,Broadway Ind^,B69,-93
stocks,Brook Crompton,AWC,-94
stocks,Bukit Sembawang,B61,-95
stocks,Bumitama Agri,P8Z,-96
stocks,Bund Center,BTE,-97
reits,Cache Log Trust,K2LU,-98
stocks,Camsing Hc,BAC,-99
reits,CapitaCom Trust,C61U,-100
stocks,Capital World,1D5,-101
stocks,CapitaLand,C31,-102
reits,CapitaMall Trust,C38U,-103
reits,CapitaR China Tr,AU8U,-104
stocks,Captii,AWV,-105
stocks,Casa^,C04,-106
businesstrusts,CDL HTrust,J85,-107
stocks,CDW,BXE,-108
stocks,CEI,AVV,-109
stocks,Centurion,OU8,-110
stocks,CFM,5EB,-111
stocks,CH Offshore,C13,-112
stocks,Challenger,573,-113
stocks,Charisma Energy,5QT,-114
stocks,Chasen^,5NV,-115
stocks,ChasWood Res,5TW,-116
stocks,Chemical Ind,C05,-117
stocks,Cheung Woh,C50,-118
stocks,China Aviation,G92,-119
stocks,China Env,5OU,-120
stocks,China Env Res,RS1,-121
stocks,China Everbright,U9E,-122
stocks,China Fishery,B0Z,-123
stocks,China Great Land^,D50,-124
stocks,China Haida^,C92,-125
stocks,China Hongxing,BR9,-126
stocks,China Intl,BEH,-127
stocks,China Jishan^,J18,-128
stocks,China Mining^,BHD,-129
stocks,China Paper,C71,-130
stocks,China Real Estate,5RA,-131
stocks,China Sky Chem,E90,-132
stocks,China Sports^,FQ8,-133
stocks,China Star Food,42W,-134
stocks,China Taisan^,AZW,-135
stocks,China Yuanbang^,BCD,-136
stocks,ChinaKangdaFood,P74,-137
stocks,ChinaKundaTech,GU5,-138
stocks,ChinaSunsine,QES,-139
stocks,Chinese Global,5CJ,-140
stocks,Chip Eng Seng,C29,-141
stocks,Choo Chiang,42E,-142
stocks,Chuan Hup,C33,-143
stocks,Citicode,5FH,-144
stocks,CityDev,C09,-145
stocks,Civmec,P9D,-146
stocks,Clearbridge,1H3,-147
stocks,CNMC Goldmine,5TP,-148
stocks,Colex,567,-149
